company_name,cik,bucket,latest_periodic_filing,deregistration_date,form25_date
Centrexion Therapeutics Corp,1592052,stalled_filing,,,
Regulus Therapeutics Inc.,1505512,deregistered_or_delisted,2025-05-08,2025-07-07,2025-06-25
"AKCEA THERAPEUTICS, INC.",1662524,deregistered_or_delisted,2020-08-05,2020-10-23,2020-10-13
"Kite Pharma, Inc.",1510580,deregistered_or_delisted,2017-08-08,2017-10-13,2017-10-03
"Accelerated Pharma, Inc.",1630970,stalled_filing,2020-04-22,,
"Versartis, Inc.",1513818,deregistered_or_delisted,2023-11-09,2024-02-08,2024-01-29
"ARATANA THERAPEUTICS, INC.",1509190,deregistered_or_delisted,2019-05-09,2019-07-29,2019-07-18
"Eidos Therapeutics, Inc.",1731831,deregistered_or_delisted,2020-10-29,2021-02-05,2021-01-26
"MICROLIN BIO, INC.",1590930,stalled_filing,,,
MyoKardia Inc,1552451,deregistered_or_delisted,2020-11-05,2020-11-27,2020-11-17
"Epizyme, Inc.",1571498,deregistered_or_delisted,2022-08-09,2022-08-23,2022-08-12
"Hoth Therapeutics, Inc.",1711786,actively_filing,2026-05-15,,
TCR2 THERAPEUTICS INC.,1750019,deregistered_or_delisted,2023-05-11,2023-06-12,2023-06-01
"CohBar, Inc.",1522602,deregistered_or_delisted,2023-08-14,,2023-12-27
Cerecor Inc.,1534120,actively_filing,2026-05-13,,2017-04-17
"Provention Bio, Inc.",1695357,deregistered_or_delisted,2023-03-29,2023-05-08,2023-04-27
"Tricida, Inc.",1595585,deregistered_or_delisted,2022-11-14,2023-06-13,2023-03-03
"Corium International, Inc.",1594337,deregistered_or_delisted,2018-08-10,2018-12-07,2018-11-27
"ALZHEON, INC.",1582636,stalled_filing,,,
"S1 Biopharma, Inc.",1613723,stalled_filing,,,
Zosano Pharma Corp,1587221,deregistered_or_delisted,2022-05-13,,2022-07-19
"Mirna Therapeutics, Inc.",1527599,deregistered_or_delisted,2026-05-14,,2026-05-18
"Loxo Oncology, Inc.",1581720,deregistered_or_delisted,2018-11-08,2019-02-25,2019-02-15
"Ruthigen, Inc.",1574235,actively_filing,2026-06-16,,
"Peloton Therapeutics, Inc.",1525145,stalled_filing,,,
"Cortexyme, Inc.",1662774,actively_filing,2026-05-11,,
"Translate Bio, Inc.",1693415,deregistered_or_delisted,2021-08-05,2021-09-24,2021-09-14
"Sun BioPharma, Inc.",1029125,actively_filing,2024-11-14,,2024-04-25
"Vyrix Pharmaceuticals, Inc.",1602413,stalled_filing,,,
"Synthorx, Inc.",1609727,deregistered_or_delisted,2019-11-05,2020-02-03,2020-01-23
"Morphic Holding, Inc.",1679363,deregistered_or_delisted,2024-07-25,2024-08-26,2024-08-16
Entasis Therapeutics Holdings Inc.,1724344,deregistered_or_delisted,2022-05-02,2022-07-21,2022-07-11
"AVROBIO, Inc.",1681087,actively_filing,2026-05-07,,
Axovant Sciences Ltd.,1636050,stalled_filing,2023-02-14,2023-04-25,2017-09-05
"Civitas Therapeutics, Inc.",1509697,stalled_filing,,,
HOOKIPA Pharma Inc.,1760542,deregistered_or_delisted,2025-05-15,2025-08-08,2025-07-29
"Forty Seven, Inc.",1667633,deregistered_or_delisted,2020-03-20,2020-04-17,2020-04-07
Sunset Island Group,1689066,stalled_filing,2020-05-22,,
Gemphire Therapeutics Inc.,1638287,actively_filing,2026-05-14,,
"LogicBio Therapeutics, Inc.",1664106,deregistered_or_delisted,2022-11-14,2022-11-29,2022-11-16
Angion Biomedica Corp.,1601485,actively_filing,2026-05-11,,
"89bio, Inc.",1785173,deregistered_or_delisted,2025-08-08,2025-11-10,2025-10-30
"Spark Therapeutics, Inc.",1609351,deregistered_or_delisted,2019-11-07,2019-12-27,2019-12-17
"Avalanche Biotechnologies, Inc.",1501756,deregistered_or_delisted,2025-11-12,2025-12-19,2025-12-09
Dermavant Sciences Ltd,1753483,stalled_filing,,,
SOPHIRIS BIO INC.,1563855,deregistered_or_delisted,2019-11-08,,2020-04-29
Beam Therapeutics Inc.,1745999,actively_filing,2026-05-07,,
Viamet Pharmaceuticals Holdings LLC,1538928,stalled_filing,,,
"Aridis Pharmaceuticals, Inc.",1614067,deregistered_or_delisted,2023-11-06,,2023-09-08
"Gritstone Oncology, Inc.",1656634,deregistered_or_delisted,2024-08-13,2025-04-04,2025-03-05
"Viela Bio, Inc.",1734517,deregistered_or_delisted,2021-03-15,2021-03-25,2021-03-15
